"store","category","orders","return_rate_pct","avg_satisfaction"
"S002","Electronics","10","100.0","2.7"
"S004","Electronics","43","97.7","2.3"
"S003","Electronics","39","89.7","2.5"
"S003","Office Supplies","8","0.0","4.1"
"S004","Office Supplies","8","0.0","4.1"
"S005","Office Supplies","1","0.0","4.4"
"S001","Furniture","1","0.0","4.5"
"S003","Furniture","21","0.0","3.8"
"S002","Office Supplies","4","0.0","3.8"
"S005","Electronics","1","0.0","3.6"
"S005","Furniture","2","0.0","4.1"
"S004","Furniture","8","0.0","4.0"
"S002","Furniture","3","0.0","3.8"
