"orderid","orderdate","region","store","category","subcategory","product","channel","unitssold","unitprice","discountpct","revenue","profit","returned","customersatisfaction","customerid","paymentmethod"
"ORD-0001","2025-01-15","North","S001","Electronics","Audio","Wireless Headphones","Online",3,"89.99","0.05","256.47","64.12","No","4.5","CUST-1001","Credit Card"
"ORD-0002","2025-01-15","East","S002","Furniture","Seating","Office Chair","Physical",2,"199.50","0.10","359.10","125.68","No","4.8","CUST-1002","Bank Transfer"
"ORD-0003","2025-01-16","South","S003","Electronics","Audio","Bluetooth Speaker","Online",4,"59.99","0.00","239.96","59.99","No","4.2","CUST-1003","Debit Card"
"ORD-0004","2025-01-16","West","S004","Office Supplies","Paper","Printer Paper","Physical",5,"12.50","0.15","53.13","18.59","No","4.0","CUST-1004","Cash"
"ORD-0005","2025-01-17","North","S001","Electronics","Wearables","Smart Watch","Online",2,"149.99","0.20","239.98","47.99","No","4.6","CUST-1005","Mobile Payment"
"ORD-0006","2025-01-17","South","S003","Furniture","Storage","Storage Cabinet","Physical",1,"249.99","0.00","249.99","87.50","No","4.7","CUST-1006","Credit Card"
"ORD-0007","2025-01-18","East","S005","Office Supplies","Writing","Pen Set","Online",10,"8.99","0.05","85.41","29.89","No","4.3","CUST-1007","Debit Card"
"ORD-0008","2025-01-18","West","S006","Electronics","Accessories","Smartphone Accessories","Physical",6,"29.99","0.00","179.94","53.98","No","4.1","CUST-1008","Bank Transfer"
"ORD-0009","2025-01-19","North","S002","Electronics","Audio","Wireless Headphones","Physical",3,"89.99","0.10","242.97","60.74","No","4.4","CUST-1009","Cash"
"ORD-0010","2025-01-19","South","S004","Furniture","Desks","Desk","Online",1,"349.50","0.00","349.50","122.32","No","4.9","CUST-1010","Mobile Payment"
"ORD-0011","2025-01-20","East","S001","Office Supplies","Paper","Notebook","Physical",8,"7.99","0.00","63.92","22.37","No","4.5","CUST-1011","Credit Card"
"ORD-0012","2025-01-20","West","S002","Electronics","Wearables","Smart Watch","Online",2,"149.99","0.15","254.98","50.99","No","4.7","CUST-1012","Debit Card"
"ORD-0013","2025-01-21","North","S005","Furniture","Seating","Office Chair","Physical",3,"199.50","0.05","568.57","199.00","No","4.6","CUST-1013","Bank Transfer"
"ORD-0014","2025-01-21","South","S003","Electronics","Audio","Bluetooth Speaker","Online",5,"59.99","0.00","299.95","74.98","No","3.8","CUST-1014","Cash"
"ORD-0015","2025-01-22","East","S006","Office Supplies","Storage","File Folder","Physical",12,"3.99","0.10","43.09","15.08","No","4.2","CUST-1015","Mobile Payment"
"ORD-0016","2025-01-22","West","S004","Furniture","Shelving","Bookshelf","Online",2,"179.99","0.00","359.98","125.99","No","4.8","CUST-1016","Credit Card"
"ORD-0017","2025-01-23","North","S002","Electronics","Accessories","Smartphone Accessories","Physical",7,"29.99","0.20","167.94","50.38","No","3.9","CUST-1017","Debit Card"
"ORD-0018","2025-01-23","South","S001","Furniture","Desks","Desk","Online",1,"349.50","0.10","314.55","110.09","No","4.5","CUST-1018","Bank Transfer"
"ORD-0019","2025-01-24","East","S003","Office Supplies","Writing","Pen Set","Physical",15,"8.99","0.00","134.85","47.20","No","4.0","CUST-1019","Cash"
"ORD-0020","2025-01-24","West","S005","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.05","341.96","85.49","No","4.3","CUST-1020","Mobile Payment"
"ORD-0021","2025-01-25","North","S006","Furniture","Storage","Storage Cabinet","Physical",2,"249.99","0.00","499.98","174.99","No","4.7","CUST-1021","Credit Card"
"ORD-0022","2025-01-25","South","S004","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.15","382.47","76.49","No","3.5","CUST-1022","Debit Card"
"ORD-0023","2025-01-26","East","S002","Office Supplies","Paper","Printer Paper","Physical",20,"12.50","0.00","250.00","87.50","No","4.1","CUST-1023","Bank Transfer"
"ORD-0024","2025-01-26","West","S003","Electronics","Audio","Bluetooth Speaker","Online",6,"59.99","0.10","323.94","80.99","No","4.2","CUST-1024","Cash"
"ORD-0025","2025-01-27","North","S001","Furniture","Seating","Office Chair","Physical",2,"199.50","0.05","379.05","132.67","No","4.9","CUST-1025","Mobile Payment"
"ORD-0026","2025-01-27","South","S005","Office Supplies","Writing","Notebook","Online",10,"7.99","0.00","79.90","27.96","No","4.4","CUST-1026","Credit Card"
"ORD-0027","2025-01-28","East","S004","Electronics","Accessories","Smartphone Accessories","Physical",8,"29.99","0.20","191.94","57.58","No","4.0","CUST-1027","Debit Card"
"ORD-0028","2025-01-28","West","S006","Furniture","Shelving","Bookshelf","Online",1,"179.99","0.00","179.99","63.00","No","4.6","CUST-1028","Bank Transfer"
"ORD-0029","2025-01-29","North","S002","Office Supplies","Storage","File Folder","Physical",25,"3.99","0.05","94.76","33.17","No","4.3","CUST-1029","Cash"
"ORD-0030","2025-01-29","South","S003","Electronics","Audio","Wireless Headphones","Online",3,"89.99","0.10","242.97","60.74","No","3.7","CUST-1030","Mobile Payment"
"ORD-0031","2025-01-30","East","S001","Furniture","Desks","Desk","Physical",2,"349.50","0.00","699.00","244.65","No","4.8","CUST-1031","Credit Card"
"ORD-0032","2025-01-30","West","S005","Electronics","Wearables","Smart Watch","Online",4,"149.99","0.05","569.96","113.99","No","4.5","CUST-1032","Debit Card"
"ORD-0033","2025-02-01","North","S004","Office Supplies","Paper","Printer Paper","Physical",15,"12.50","0.00","187.50","65.62","No","4.2","CUST-1033","Bank Transfer"
"ORD-0034","2025-02-01","South","S002","Furniture","Seating","Office Chair","Online",3,"199.50","0.10","538.65","188.53","No","4.6","CUST-1034","Cash"
"ORD-0035","2025-02-02","East","S006","Electronics","Audio","Bluetooth Speaker","Physical",7,"59.99","0.00","419.93","104.98","No","4.1","CUST-1035","Mobile Payment"
"ORD-0036","2025-02-02","West","S003","Furniture","Storage","Storage Cabinet","Online",2,"249.99","0.20","399.98","139.99","No","4.7","CUST-1036","Credit Card"
"ORD-0037","2025-02-03","North","S001","Office Supplies","Writing","Pen Set","Physical",12,"8.99","0.05","102.49","35.87","No","4.4","CUST-1037","Debit Card"
"ORD-0038","2025-02-03","South","S005","Electronics","Accessories","Smartphone Accessories","Online",9,"29.99","0.00","269.91","80.97","No","3.6","CUST-1038","Bank Transfer"
"ORD-0039","2025-02-04","East","S002","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.9","CUST-1039","Cash"
"ORD-0040","2025-02-04","West","S004","Office Supplies","Paper","Notebook","Online",20,"7.99","0.10","143.82","50.34","No","4.3","CUST-1040","Mobile Payment"
"ORD-0041","2025-02-05","North","S006","Electronics","Audio","Wireless Headphones","Physical",5,"89.99","0.05","427.45","106.86","No","4.5","CUST-1041","Credit Card"
"ORD-0042","2025-02-05","South","S003","Furniture","Desks","Desk","Online",2,"349.50","0.15","594.15","207.95","No","4.1","CUST-1042","Debit Card"
"ORD-0043","2025-02-06","East","S001","Office Supplies","Storage","File Folder","Physical",18,"3.99","0.00","71.82","25.14","No","3.8","CUST-1043","Bank Transfer"
"ORD-0044","2025-02-06","West","S005","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.10","404.97","80.99","No","4.4","CUST-1044","Cash"
"ORD-0045","2025-02-07","North","S002","Furniture","Seating","Office Chair","Physical",4,"199.50","0.00","798.00","279.30","No","4.7","CUST-1045","Mobile Payment"
"ORD-0046","2025-02-07","South","S004","Electronics","Audio","Bluetooth Speaker","Online",6,"59.99","0.05","341.94","85.49","Yes","2.8","CUST-1046","Credit Card"
